file,truth,predicted,raw_diag_snippet
K001.parquet,HEALTHY,HEALTHY,HEALTHY:::No significant faults found in Phase 1. Peak score was 1/3.
K002.parquet,HEALTHY,HEALTHY,HEALTHY:::No significant faults found in Phase 1. Peak score was 1/3.
K003.parquet,HEALTHY,HEALTHY,HEALTHY:::No significant faults found in Phase 1. Peak score was 0/3.
K004.parquet,HEALTHY,HEALTHY,HEALTHY:::No significant faults found in Phase 1. Peak score was 1/3.
K005.parquet,HEALTHY,HEALTHY,HEALTHY:::No significant faults found in Phase 1. Peak score was 1/3.
K006.parquet,HEALTHY,HEALTHY,HEALTHY:::No significant faults found in Phase 1. Peak score was 0/3.
KA01.parquet,OUTER_RACE,OUTER_RACE,OUTER_RACE:::[Phase 1 Only] Peak score: 3/3.
KA03.parquet,OUTER_RACE,OUTER_RACE,OUTER_RACE:::[Phase 1 Only] Peak score: 3/3.
KA05.parquet,OUTER_RACE,OUTER_RACE,OUTER_RACE:::[Phase 1 Only] Peak score: 3/3.
KA07.parquet,OUTER_RACE,OUTER_RACE,OUTER_RACE:::[Phase 1 Only] Peak score: 3/3.
KA08.parquet,OUTER_RACE,OUTER_RACE,OUTER_RACE:::[Phase 1 Only] Peak score: 3/3.
KA09.parquet,OUTER_RACE,OUTER_RACE,OUTER_RACE:::[Phase 1 Only] Peak score: 3/3.
KI01.parquet,INNER_RACE,INNER_RACE,INNER_RACE:::[Phase 1 Only] Peak score: 3/3.
KI03.parquet,INNER_RACE,INNER_RACE,INNER_RACE:::[Phase 1 Only] Peak score: 3/3.
KI05.parquet,INNER_RACE,INNER_RACE,INNER_RACE:::[Phase 1 Only] Peak score: 3/3.
KI07.parquet,INNER_RACE,HEALTHY,HEALTHY:::No significant faults found in Phase 1. Peak score was 1/3.
KI08.parquet,INNER_RACE,"OUTER_RACE,INNER_RACE","OUTER_RACE,INNER_RACE:::[Phase 1 Only] Peak score: 3/3."
